CAMIS,DBA,BUILDING,STREET,ZIPCODE,CUISINE DESCRIPTION,INSPECTION TYPE,INSPECTION DATE,ACTION,SCORE,GRADE,GRADE DATE,Count
40990997,WENDY'S,335,5 AVENUE,10016,Hamburgers,Cycle Inspection / Reopening Inspection,9/18/2015 0:00,Establishment re-opened by DOHMH,2,P,9/18/2015,1
40990997,WENDY'S,335,5 AVENUE,10016,Hamburgers,Cycle Inspection / Initial Inspection,9/17/2015 0:00,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,57,,,5
40991543,BLUE JAVA COFFEE BAR - BUTLER LIBRARY,535       ,WEST  114 STREET                                  ,10027,Café/Coffee/Tea,Cycle Inspection / Initial Inspection,9/1/2015 0:00,Violations were cited in the following area(s).,5,A,9/1/2015,2
40993542,CAFE 28,245,5 AVENUE,10016,American ,Cycle Inspection / Initial Inspection,10/9/2015 0:00,Violations were cited in the following area(s).,20,,,5
40993590,CARIDAD,588,AMSTERDAM AVENUE,10024,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Cycle Inspection / Re-inspection,9/21/2015 0:00,Violations were cited in the following area(s).,13,A,9/21/2015,3
40994221,MANGIA,22,WEST   23 STREET,10010,Italian,Cycle Inspection / Initial Inspection,10/7/2015 0:00,Violations were cited in the following area(s).,13,A,10/7/2015,2
40994615,APPLEBEE'S NEIGHBORHOOD GRILL & BAR,205       ,WEST   50 STREET                                                                                    ,10019,American ,Cycle Inspection / Initial Inspection,9/15/2015 0:00,Violations were cited in the following area(s).,11,A,9/15/2015,2
40997119,CITIGROUP CONFERENCE DINING,388,GREENWICH STREET,10013,American ,Cycle Inspection / Initial Inspection,9/11/2015 0:00,Violations were cited in the following area(s).,4,A,9/11/2015,2
40997838,CAFE METRO,14,EAST   42 STREET,10017,American ,Cycle Inspection / Re-inspection,9/28/2015 0:00,Violations were cited in the following area(s).,7,A,9/28/2015,1
40997838,CAFE METRO,14,EAST   42 STREET,10017,American ,Cycle Inspection / Initial Inspection,9/3/2015 0:00,Violations were cited in the following area(s).,20,,,3
40998983,CASA MONO/BAR JAMON (NEXT DOOR),52,IRVING PLACE,10003,Tapas,Cycle Inspection / Initial Inspection,9/15/2015 0:00,Violations were cited in the following area(s).,11,A,9/15/2015,2
40999193,KO SUSHI,1329,2 AVENUE,10021,Japanese,Cycle Inspection / Re-inspection,9/18/2015 0:00,Violations were cited in the following area(s).,12,A,9/18/2015,2
41001763,ORIENTAL GARDEN RESTAURANT,14        ,ELIZABETH STREET                                  ,10013,Chinese,Cycle Inspection / Re-inspection,9/9/2015 0:00,Violations were cited in the following area(s).,25,Z,9/9/2015,4
41004293,FORT WASHINGTON BAKERY AND DELI,808       ,WEST  181 STREET                                  ,10033,American ,Cycle Inspection / Re-inspection,9/18/2015 0:00,Violations were cited in the following area(s).,9,A,9/18/2015,2
41008641,PER SE,10,COLUMBUS CIRCLE,10019,American ,Cycle Inspection / Initial Inspection,9/10/2015 0:00,Violations were cited in the following area(s).,29,,,5
41011050,EAST 86 CINEMAS,210,EAST   86 STREET,10028,American ,Cycle Inspection / Initial Inspection,9/8/2015 0:00,Violations were cited in the following area(s).,7,A,9/8/2015,1
41012395,TBSP,17,WEST   20 STREET,10011,American ,Cycle Inspection / Re-inspection,9/28/2015 0:00,Violations were cited in the following area(s).,21,Z,9/28/2015,4
41012395,TBSP,17,WEST   20 STREET,10011,American ,Cycle Inspection / Initial Inspection,9/3/2015 0:00,Violations were cited in the following area(s).,39,,,7
41012973,MAMA'S PIZZERIA,941,AMSTERDAM AVENUE,10025,Pizza/Italian,Cycle Inspection / Initial Inspection,9/18/2015 0:00,Violations were cited in the following area(s).,10,A,9/18/2015,2
41014003,STARBUCKS COFFEE (@ The Marriott),1535,BROADWAY,10036,Café/Coffee/Tea,Cycle Inspection / Initial Inspection,9/18/2015 0:00,Violations were cited in the following area(s).,4,A,9/18/2015,2
41014435,YOLI RESTAURANT,274       ,EAST    3 STREET                                  ,10009,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Cycle Inspection / Re-inspection,9/29/2015 0:00,Violations were cited in the following area(s).,7,A,9/29/2015,2
41014435,YOLI RESTAURANT,274       ,EAST    3 STREET                                  ,10009,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Cycle Inspection / Initial Inspection,9/18/2015 0:00,Violations were cited in the following area(s).,17,,,3
41014435,YOLI RESTAURANT,274       ,EAST    3 STREET                                  ,10009,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Smoke-Free Air Act / Initial Inspection,9/18/2015 0:00,Violations were cited in the following area(s).,,,,1
41014952,CORTE CAFE,2,LAFAYETTE STREET,10007,Delicatessen,Administrative Miscellaneous / Initial Inspection,9/4/2015 0:00,Violations were cited in the following area(s).,,,,1
41019942,SMORGAS CHEF/ CREPES DU NORD,53,STONE STREET,10004,Scandinavian,Cycle Inspection / Re-inspection,9/1/2015 0:00,Violations were cited in the following area(s).,12,A,9/1/2015,3
41021991,EXTRA VIRGIN,259,WEST    4 STREET,10014,Mediterranean,Cycle Inspection / Re-inspection,10/14/2015 0:00,Violations were cited in the following area(s).,12,A,10/14/2015,3
41021991,EXTRA VIRGIN,259,WEST    4 STREET,10014,Mediterranean,Cycle Inspection / Initial Inspection,9/16/2015 0:00,Violations were cited in the following area(s).,19,,,3
41023740,JOHNY'S LUNCHEONETTE,124       ,WEST   25 STREET                                  ,10001,American ,Cycle Inspection / Re-inspection,9/4/2015 0:00,Violations were cited in the following area(s).,20,Z,9/4/2015,4
41026002,PHO 32 & SHABU,2         ,WEST   32 STREET                                  ,10001,Vietnamese/Cambodian/Malaysia,Administrative Miscellaneous / Initial Inspection,9/16/2015 0:00,Violations were cited in the following area(s).,,,,1
41026458,RICARDO STEAK HOUSE,2145,2 AVENUE,10029,Steak,Cycle Inspection / Initial Inspection,10/6/2015 0:00,Violations were cited in the following area(s).,24,,,5
41026458,RICARDO STEAK HOUSE,2145,2 AVENUE,10029,Steak,Trans Fat / Initial Inspection,10/6/2015 0:00,Violations were cited in the following area(s).,,,,1
41026458,RICARDO STEAK HOUSE,2145,2 AVENUE,10029,Steak,Administrative Miscellaneous / Initial Inspection,10/6/2015 0:00,Violations were cited in the following area(s).,,,,1
41028080,BISTECCA FIORENTINA STEAK,317       ,WEST 46 STREET                                    ,10036,Italian,Cycle Inspection / Re-inspection,10/7/2015 0:00,Violations were cited in the following area(s).,29,Z,10/7/2015,6
41030858,LA MIA PIZZA,1488      ,1 AVENUE                                          ,10075,Pizza,Cycle Inspection / Re-inspection,10/15/2015 0:00,Violations were cited in the following area(s).,32,Z,10/15/2015,6
41030858,LA MIA PIZZA,1488      ,1 AVENUE                                          ,10075,Pizza,Cycle Inspection / Initial Inspection,9/10/2015 0:00,Violations were cited in the following area(s).,43,,,8
41031273,ARIYOSHI JAPANESE RESTAURANT,226       ,EAST   53 STREET                                  ,10022,Japanese,Cycle Inspection / Re-inspection,9/28/2015 0:00,Violations were cited in the following area(s).,21,Z,9/28/2015,4
41035387,BAR VELOCE,176,7 AVENUE,10011,American ,Cycle Inspection / Initial Inspection,9/29/2015 0:00,Violations were cited in the following area(s).,36,,,7
41035793,AKDENIZ,19        ,WEST   46 STREET                                  ,10036,Turkish,Cycle Inspection / Initial Inspection,9/21/2015 0:00,Violations were cited in the following area(s).,21,,,5
41037105,XES LOUNGE,157,WEST   24 STREET,10011,American ,Cycle Inspection / Initial Inspection,9/29/2015 0:00,Violations were cited in the following area(s).,24,,,4
41037278,FAMOUS FAMIGLIA PIZZA,1284,1 AVENUE,10065,Pizza,Cycle Inspection / Re-inspection,10/7/2015 0:00,Violations were cited in the following area(s).,13,A,10/7/2015,2
41038585,LA TERRAZA RESTAURANT,3881,BROADWAY,10032,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Cycle Inspection / Initial Inspection,9/28/2015 0:00,Violations were cited in the following area(s).,10,A,9/28/2015,2
41042416,CITY CINEMAS 123,1001      ,3 AVENUE                                          ,10022,American ,Cycle Inspection / Re-inspection,9/9/2015 0:00,Violations were cited in the following area(s).,5,A,9/9/2015,1
41046455,FREEMANS (FREEMANS ALLEY),191,CHRYSTIE STREET,10002,American ,Cycle Inspection / Re-inspection,10/15/2015 0:00,Violations were cited in the following area(s).,23,Z,10/15/2015,4
41046455,FREEMANS (FREEMANS ALLEY),191,CHRYSTIE STREET,10002,American ,Administrative Miscellaneous / Re-inspection,10/15/2015 0:00,Violations were cited in the following area(s).,,,,1
41046455,FREEMANS (FREEMANS ALLEY),191,CHRYSTIE STREET,10002,American ,Cycle Inspection / Initial Inspection,9/22/2015 0:00,Violations were cited in the following area(s).,68,,,7
41046455,FREEMANS (FREEMANS ALLEY),191,CHRYSTIE STREET,10002,American ,Administrative Miscellaneous / Initial Inspection,9/22/2015 0:00,Violations were cited in the following area(s).,,,,1
41050965,LITTLE ITALY PIZZA,180       ,VARICK STREET                                     ,10014,Delicatessen,Cycle Inspection / Initial Inspection,10/1/2015 0:00,Violations were cited in the following area(s).,28,,,3
41051273,PRET A MANGER,1350,6 AVENUE,10019,Sandwiches,Cycle Inspection / Initial Inspection,9/15/2015 0:00,Violations were cited in the following area(s).,3,A,9/15/2015,1
41056088,BUA,126,ST MARKS PLACE,10009,American ,Cycle Inspection / Initial Inspection,9/11/2015 0:00,Violations were cited in the following area(s).,10,A,9/11/2015,2
41056355,NEW MILLENIUM PIZZERIA,394,WEST  145 STREET,10031,Pizza/Italian,Cycle Inspection / Initial Inspection,9/18/2015 0:00,Violations were cited in the following area(s).,12,A,9/18/2015,2
41056448,A & C KITCHEN,134136,AVENUE C,10009,Chinese,Cycle Inspection / Initial Inspection,9/24/2015 0:00,Violations were cited in the following area(s).,22,,,6
41063946,VIET CAFE,345       ,GREENWICH STREET                                  ,10013,Vietnamese/Cambodian/Malaysia,Cycle Inspection / Re-inspection,9/15/2015 0:00,Violations were cited in the following area(s).,8,A,9/15/2015,3
41063946,VIET CAFE,345       ,GREENWICH STREET                                  ,10013,Vietnamese/Cambodian/Malaysia,Smoke-Free Air Act / Re-inspection,9/15/2015 0:00,Violations were cited in the following area(s).,,,,1
41065858,LURE FISHBAR,142       ,MERCER STREET                                     ,10012,Seafood,Cycle Inspection / Re-inspection,9/10/2015 0:00,Violations were cited in the following area(s).,10,A,9/10/2015,2
41066767,DALTON'S BAR & GRILL,611,9 AVENUE,10036,American ,Cycle Inspection / Initial Inspection,10/6/2015 0:00,Violations were cited in the following area(s).,21,,,5
41067778,SALA ONE NINE,35        ,WEST   19 STREET                                  ,10011,Spanish,Cycle Inspection / Re-inspection,9/21/2015 0:00,Violations were cited in the following area(s).,9,A,9/21/2015,2
41068439,ANTICA BOTTEGA DEL VINO,5         ,EAST   59 STREET                                  ,10022,Italian,Cycle Inspection / Re-inspection,10/6/2015 0:00,Violations were cited in the following area(s).,24,Z,10/6/2015,4
41068439,ANTICA BOTTEGA DEL VINO,5         ,EAST   59 STREET                                  ,10022,Italian,Cycle Inspection / Initial Inspection,9/14/2015 0:00,Violations were cited in the following area(s).,22,,,5
41068607,CAFE NUNEZ,240       ,WEST   35 STREET                                  ,10001,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Cycle Inspection / Re-inspection,9/21/2015 0:00,Violations were cited in the following area(s).,10,A,9/21/2015,2
41072750,CUCINA BENE PIZZERIA,41,EXCHANGE PLACE,10005,Pizza,Cycle Inspection / Initial Inspection,10/2/2015 0:00,Violations were cited in the following area(s).,7,A,10/2/2015,2
41072936,LADY M CONFECTIONS,41,EAST   78 STREET,10075,Bakery,Cycle Inspection / Initial Inspection,9/10/2015 0:00,Violations were cited in the following area(s).,9,A,9/10/2015,2
41073527,PARS GRILL HOUSE,249       ,WEST   26 STREET                                  ,10001,Middle Eastern,Cycle Inspection / Re-inspection,9/10/2015 0:00,Violations were cited in the following area(s).,41,Z,9/10/2015,7
41076314,MELBA'S,300,WEST  114 STREET,10026,American ,Administrative Miscellaneous / Compliance Inspection,9/23/2015 0:00,Violations were cited in the following area(s).,,,,1
41079528,LASAGNA RESTAURANT,196,8 AVENUE,10011,Italian,Cycle Inspection / Re-inspection,9/17/2015 0:00,Violations were cited in the following area(s).,13,A,9/17/2015,2
41080655,EPSTEIN'S BAR,82,STANTON STREET,10002,American ,Cycle Inspection / Re-inspection,9/2/2015 0:00,Violations were cited in the following area(s).,35,Z,9/2/2015,5
41082395,FAMOUS FAMIGLIA PIZZA,757,BROADWAY,10003,Pizza,Cycle Inspection / Initial Inspection,9/18/2015 0:00,Violations were cited in the following area(s).,9,A,9/18/2015,2
41082395,FAMOUS FAMIGLIA PIZZA,757,BROADWAY,10003,Pizza,Administrative Miscellaneous / Initial Inspection,9/18/2015 0:00,Violations were cited in the following area(s).,,,,1
41086895,CHIPOTLE MEXICAN GRILL,9,WEST   42 STREET,10036,Mexican,Cycle Inspection / Re-inspection,10/7/2015 0:00,Violations were cited in the following area(s).,9,A,10/7/2015,2
41086895,CHIPOTLE MEXICAN GRILL,9,WEST   42 STREET,10036,Mexican,Cycle Inspection / Initial Inspection,9/1/2015 0:00,Violations were cited in the following area(s).,17,,,4
41086967,IL SOLE,229233,DYCKMAN STREET,10034,Italian,Trans Fat / Compliance Inspection,9/17/2015 0:00,Violations were cited in the following area(s).,,,,1
41087130,CAFE METRO,569,LEXINGTON AVENUE,10022,American ,Cycle Inspection / Initial Inspection,9/4/2015 0:00,Violations were cited in the following area(s).,9,A,9/4/2015,2
41087273,CO-OP at HOTEL RIVINGTON,107,RIVINGTON STREET,10002,American ,Cycle Inspection / Re-inspection,9/1/2015 0:00,Violations were cited in the following area(s).,10,A,9/1/2015,2
41091640,HARRINGTON'S BAR & GRILL,370       ,7 AVENUE                                          ,10001,American ,Cycle Inspection / Re-inspection,9/14/2015 0:00,Violations were cited in the following area(s).,9,A,9/14/2015,2
41091640,HARRINGTON'S BAR & GRILL,370       ,7 AVENUE                                          ,10001,American ,Trans Fat / Re-inspection,9/14/2015 0:00,Violations were cited in the following area(s).,,,,1
41091944,ABBEY TAVERN,354,3 AVENUE,10010,American ,Cycle Inspection / Re-inspection,10/1/2015 0:00,Violations were cited in the following area(s).,13,A,10/1/2015,3
41091944,ABBEY TAVERN,354,3 AVENUE,10010,American ,Cycle Inspection / Initial Inspection,9/8/2015 0:00,Violations were cited in the following area(s).,18,,,3
41091949,STAR GOURMET DELI & PIZZA,797,6 AVENUE,10001,American ,Cycle Inspection / Initial Inspection,10/14/2015 0:00,Violations were cited in the following area(s).,35,,,5
41091988,PAPAYA DOG,333,6 AVENUE,10014,Hotdogs,Cycle Inspection / Initial Inspection,9/24/2015 0:00,Violations were cited in the following area(s).,29,,,5
41091988,PAPAYA DOG,333,6 AVENUE,10014,Hotdogs,Smoke-Free Air Act / Initial Inspection,9/24/2015 0:00,Violations were cited in the following area(s).,,,,1
41092609,10TH AVENUE COOKSHOP,156,10 AVENUE,10011,American ,Cycle Inspection / Initial Inspection,10/9/2015 0:00,Violations were cited in the following area(s).,18,,,3
41098073,STOUT,133,WEST   33 STREET,10001,American ,Cycle Inspection / Initial Inspection,9/29/2015 0:00,Violations were cited in the following area(s).,27,,,5
41098217,RED 58,158,WEST   58 STREET,10019,American ,Cycle Inspection / Initial Inspection,9/16/2015 0:00,Violations were cited in the following area(s).,27,,,4
41099712,PLUCK U,230,THOMPSON STREET,10012,Chicken,Cycle Inspection / Re-inspection,9/29/2015 0:00,Violations were cited in the following area(s).,6,A,9/29/2015,2
41099712,PLUCK U,230,THOMPSON STREET,10012,Chicken,Cycle Inspection / Initial Inspection,9/8/2015 0:00,Violations were cited in the following area(s).,28,,,5
41099712,PLUCK U,230,THOMPSON STREET,10012,Chicken,Trans Fat / Initial Inspection,9/8/2015 0:00,Violations were cited in the following area(s).,,,,1
41100993,'WICHCRAFT,641       ,WEST   27 STREET                                  ,10001,Sandwiches,Cycle Inspection / Re-inspection,10/13/2015 0:00,Violations were cited in the following area(s).,10,A,10/13/2015,2
41100993,'WICHCRAFT,641       ,WEST   27 STREET                                  ,10001,Sandwiches,Cycle Inspection / Initial Inspection,9/2/2015 0:00,Violations were cited in the following area(s).,33,,,6
41103064,SABURI JUN RESTAURANT,168,LEXINGTON AVENUE,10016,Japanese,Cycle Inspection / Initial Inspection,9/22/2015 0:00,Violations were cited in the following area(s).,22,,,5
41103064,SABURI JUN RESTAURANT,168,LEXINGTON AVENUE,10016,Japanese,Smoke-Free Air Act / Initial Inspection,9/22/2015 0:00,Violations were cited in the following area(s).,,,,1
41104875,BELLA VITA PIZZERIA,211,WEST   43 STREET,10036,Pizza/Italian,Cycle Inspection / Initial Inspection,9/15/2015 0:00,Violations were cited in the following area(s).,10,A,9/15/2015,2
41108812,44 1/2 CAFE,626,10 AVENUE,10036,American ,Cycle Inspection / Initial Inspection,9/8/2015 0:00,Violations were cited in the following area(s).,12,A,9/8/2015,4
41110390,YIP'S RESTAURANT,18,BEAVER STREET,10004,Asian,Cycle Inspection / Initial Inspection,10/1/2015 0:00,Violations were cited in the following area(s).,26,,,7
41118091,LE PAIN QUOTIDIEN,252,EAST   77 STREET,10075,Sandwiches,Cycle Inspection / Initial Inspection,9/10/2015 0:00,Violations were cited in the following area(s).,10,A,9/10/2015,2
41123042,FRIENDLY PIZZERIA,59,NASSAU STREET,10038,Pizza/Italian,Cycle Inspection / Initial Inspection,10/5/2015 0:00,Violations were cited in the following area(s).,24,,,4
41125652,BANN,350       ,WEST   50 STREET                                  ,10019,Korean,Cycle Inspection / Re-inspection,10/5/2015 0:00,Violations were cited in the following area(s).,10,A,10/5/2015,2
41125652,BANN,350       ,WEST   50 STREET                                  ,10019,Korean,Cycle Inspection / Initial Inspection,9/15/2015 0:00,Violations were cited in the following area(s).,19,,,4
41125878,O'HANLON'S BAR,349,EAST 14 STREET,10003,Irish,Cycle Inspection / Re-inspection,9/14/2015 0:00,Violations were cited in the following area(s).,2,A,9/14/2015,1
41127243,MAMAJUANA CAFE,247,DYCKMAN STREET,10034,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Cycle Inspection / Initial Inspection,9/17/2015 0:00,Violations were cited in the following area(s).,23,,,4
41127243,MAMAJUANA CAFE,247,DYCKMAN STREET,10034,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Trans Fat / Initial Inspection,9/17/2015 0:00,Violations were cited in the following area(s).,,,,1
41129350,GREAT CHINA,1461,AMSTERDAM AVENUE,10027,Chinese,Cycle Inspection / Initial Inspection,9/14/2015 0:00,Violations were cited in the following area(s).,12,A,9/14/2015,3
41130146,RA @ Barclays,1301,6 AVENUE,10019,American ,Cycle Inspection / Initial Inspection,9/22/2015 0:00,Violations were cited in the following area(s).,5,A,9/22/2015,1
41131042,COPPER CHIMNEY,126,EAST   28 STREET,10016,Indian,Cycle Inspection / Re-inspection,9/8/2015 0:00,Violations were cited in the following area(s).,12,A,9/8/2015,2
41131819,REVEL ITM GARDEN,10,LITTLE WEST   12 STREET,10014,Italian,Cycle Inspection / Re-inspection,9/8/2015 0:00,Violations were cited in the following area(s).,9,A,9/8/2015,3
41138123,ABC COCINA,38,EAST 19 STREET,10003,French,Cycle Inspection / Re-inspection,10/1/2015 0:00,Violations were cited in the following area(s).,9,A,10/1/2015,2
41139255,HUDSON FOOD COURT,333,HUDSON STREET,10013,Delicatessen,Cycle Inspection / Initial Inspection,10/9/2015 0:00,Violations were cited in the following area(s).,39,,,7
41139411,HELL'S KITCHEN,754,9 AVENUE,10019,Mexican,Cycle Inspection / Re-inspection,10/13/2015 0:00,Violations were cited in the following area(s).,7,A,10/13/2015,2
41139411,HELL'S KITCHEN,754,9 AVENUE,10019,Mexican,Cycle Inspection / Initial Inspection,9/24/2015 0:00,Violations were cited in the following area(s).,25,,,4
41140173,THE DINER,44        ,9 AVENUE                                          ,10011,American ,Cycle Inspection / Re-inspection,9/15/2015 0:00,Violations were cited in the following area(s).,22,Z,9/15/2015,5
41140612,STARBUCKS COFFEE,870       ,7 AVENUE                                          ,10019,Café/Coffee/Tea,Cycle Inspection / Re-inspection,9/17/2015 0:00,Violations were cited in the following area(s).,4,A,9/17/2015,1
41142394,TAZA CAFE AND DELI,350,PARK AVENUE SOUTH,10010,American ,Cycle Inspection / Initial Inspection,10/6/2015 0:00,Violations were cited in the following area(s).,40,,,6
41142715,CAFE ZAIYA,69,COOPER SQUARE,10003,Café/Coffee/Tea,Cycle Inspection / Re-inspection,10/5/2015 0:00,Violations were cited in the following area(s).,9,A,10/5/2015,2
41142715,CAFE ZAIYA,69,COOPER SQUARE,10003,CafÃ©/Coffee/Tea,Cycle Inspection / Initial Inspection,9/15/2015 0:00,Violations were cited in the following area(s).,20,,,3
41144024,RIDGEWAY DINER,664,6 AVENUE,10010,American ,Cycle Inspection / Re-inspection,9/17/2015 0:00,Violations were cited in the following area(s).,8,A,9/17/2015,2
41144024,RIDGEWAY DINER,664,6 AVENUE,10010,American ,Cycle Inspection / Reopening Inspection,9/9/2015 0:00,Establishment re-opened by DOHMH,7,P,9/9/2015,2
41144024,RIDGEWAY DINER,664,6 AVENUE,10010,American ,Cycle Inspection / Initial Inspection,9/3/2015 0:00,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,57,,,7
41144024,RIDGEWAY DINER,664,6 AVENUE,10010,American ,Trans Fat / Initial Inspection,9/3/2015 0:00,Violations were cited in the following area(s).,,,,1
41146372,BLAKE & TODD,52,VANDERBILT AVENUE,10017,American ,Cycle Inspection / Re-inspection,9/10/2015 0:00,Violations were cited in the following area(s).,22,Z,9/10/2015,4
41148214,P.J. CLARKE'S ON THE HUDSON,4,WORLD FINANCIAL CENTER,10281,American ,Smoke-Free Air Act / Initial Inspection,9/15/2015 0:00,Violations were cited in the following area(s).,,,,3
41148214,P.J. CLARKE'S ON THE HUDSON,4,WORLD FINANCIAL CENTER,10281,American ,Trans Fat / Re-inspection,9/15/2015 0:00,Violations were cited in the following area(s).,,,,1
41148931,CONNOLLY'S PUB,43        ,WEST   54 STREET                                  ,10019,Irish,Cycle Inspection / Re-inspection,9/18/2015 0:00,Violations were cited in the following area(s).,9,A,9/18/2015,2
41149059,DAVID BURKE AT BLOOMINGDALE'S,1000,3 AVENUE,10022,American ,Cycle Inspection / Initial Inspection,9/14/2015 0:00,Violations were cited in the following area(s).,13,A,9/14/2015,2
41149653,O'BRIENS,134,WEST   46 STREET,10036,Irish,Cycle Inspection / Initial Inspection,9/8/2015 0:00,Violations were cited in the following area(s).,9,A,9/8/2015,3
41151989,WIMPY'S RESTAURANT,1232,ST NICHOLAS AVENUE,10032,American ,Cycle Inspection / Initial Inspection,9/8/2015 0:00,Violations were cited in the following area(s).,10,A,9/8/2015,2
41155140,BLAUE GANS,139,DUANE STREET,10013,German,Cycle Inspection / Initial Inspection,9/16/2015 0:00,Violations were cited in the following area(s).,13,A,9/16/2015,3
41156203,L'FONDA,2023,AMSTERDAM AVENUE,10032,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Cycle Inspection / Initial Inspection,9/28/2015 0:00,Violations were cited in the following area(s).,28,,,5
41157671,GOLDEN KING BAKERY,9092      ,BOWERY                                                                                              ,10013,Bakery,Cycle Inspection / Re-inspection,9/28/2015 0:00,Violations were cited in the following area(s).,20,Z,9/28/2015,3
41157671,GOLDEN KING BAKERY,9092      ,BOWERY                                                                                              ,10013,Bakery,Cycle Inspection / Initial Inspection,9/16/2015 0:00,Violations were cited in the following area(s).,20,,,3
41157671,GOLDEN KING BAKERY,9092      ,BOWERY                                                                                              ,10013,Bakery,Administrative Miscellaneous / Initial Inspection,9/4/2015 0:00,No violations were recorded at the time of this inspection.,,,,1
41158485,DUNKIN' DONUTS,5,PARK PLACE,10007,Donuts,Cycle Inspection / Initial Inspection,10/13/2015 0:00,Violations were cited in the following area(s).,22,,,4
41159801,BUDDAKAN,75        ,9 AVENUE                                          ,10011,Asian,Cycle Inspection / Initial Inspection,9/29/2015 0:00,Violations were cited in the following area(s).,12,A,9/29/2015,3
41160620,TERESA'S GOURMET,51,WEST   51 STREET,10019,American ,Cycle Inspection / Re-inspection,10/15/2015 0:00,Violations were cited in the following area(s).,11,A,10/15/2015,2
41160885,HOP LEE RESTARANT,16,MOTT STREET,10013,Chinese,Cycle Inspection / Re-inspection,9/28/2015 0:00,Violations were cited in the following area(s).,12,A,9/28/2015,3
41162067,CHEF YU / AZUKI,520       ,8 AVENUE                                          ,10018,Chinese,Cycle Inspection / Compliance Inspection,9/21/2015 0:00,Violations were cited in the following area(s).,39,,,3
41162067,CHEF YU / AZUKI,520       ,8 AVENUE                                          ,10018,Chinese,Cycle Inspection / Re-inspection,9/8/2015 0:00,Violations were cited in the following area(s).,48,Z,9/8/2015,6
41162689,PEE DEE,50,WEST  125 STREET,10027,Steak,Cycle Inspection / Initial Inspection,10/8/2015 0:00,Violations were cited in the following area(s).,31,,,5
41162796,ABC KITCHEN,35,EAST   18 STREET,10003,American ,Cycle Inspection / Initial Inspection,9/16/2015 0:00,Violations were cited in the following area(s).,33,,,6
41163307,TAQUERIA SAN PEDRO,3662,BROADWAY,10031,Mexican,Cycle Inspection / Re-inspection,9/22/2015 0:00,Violations were cited in the following area(s).,20,Z,9/22/2015,4
41164208,MANITOBA'S,99        ,AVENUE B                                                                                            ,10009,American ,Cycle Inspection / Re-inspection,9/17/2015 0:00,Violations were cited in the following area(s).,8,A,9/17/2015,2
41166903,PITA PRESS,25,CEDAR STREET,10006,Greek,Cycle Inspection / Re-inspection,10/5/2015 0:00,Violations were cited in the following area(s).,9,A,10/5/2015,3
41166903,PITA PRESS,25,CEDAR STREET,10006,Greek,Cycle Inspection / Initial Inspection,9/11/2015 0:00,Violations were cited in the following area(s).,23,,,4
41168107,GOTHAM COMEDY CLUB,208,WEST   23 STREET,10011,American ,Cycle Inspection / Initial Inspection,9/29/2015 0:00,Violations were cited in the following area(s).,27,,,5
41171296,KIIN THAI EATERY,36,EAST    8 STREET,10003,Thai,Cycle Inspection / Re-inspection,10/5/2015 0:00,Violations were cited in the following area(s).,35,Z,10/5/2015,7
41171296,KIIN THAI EATERY,36,EAST    8 STREET,10003,Thai,Cycle Inspection / Initial Inspection,9/8/2015 0:00,Violations were cited in the following area(s).,26,,,3
41172672,WENG'S PALACE,304,WEST   40 STREET,10018,Chinese,Cycle Inspection / Initial Inspection,10/1/2015 0:00,Violations were cited in the following area(s).,20,,,6
41174079,DITCH PLAINS,29,BEDFORD STREET,10014,Continental,Cycle Inspection / Initial Inspection,9/29/2015 0:00,Violations were cited in the following area(s).,24,,,5
41176118,VEZZO,178,LEXINGTON AVENUE,10016,Pizza/Italian,Cycle Inspection / Re-inspection,9/16/2015 0:00,No violations were recorded at the time of this inspection.,0,A,9/16/2015,1
41178713,FINANCIER PATISSERIE,10,LIBERTY STREET,10005,French,Cycle Inspection / Initial Inspection,10/14/2015 0:00,Violations were cited in the following area(s).,25,,,4
41180510,MIKE'S BAGELS,4003,BROADWAY,10032,Bagels/Pretzels,Cycle Inspection / Re-inspection,10/5/2015 0:00,Violations were cited in the following area(s).,24,Z,10/5/2015,6
41181327,DIRTY BIRD TO-GO,204,WEST   14 STREET,10011,Chicken,Cycle Inspection / Initial Inspection,9/30/2015 0:00,Violations were cited in the following area(s).,21,,,4
41183038,BAMBOO 52,344       ,WEST   52 STREET                                  ,10019,Japanese,Cycle Inspection / Re-inspection,9/24/2015 0:00,Violations were cited in the following area(s).,13,A,9/24/2015,2
41183038,BAMBOO 52,344       ,WEST   52 STREET                                  ,10019,Japanese,Cycle Inspection / Initial Inspection,9/11/2015 0:00,Violations were cited in the following area(s).,19,,,5
